"term","package","description","title"
"library","base","Load an R package","All Functions Used So Far, Week 3"
"theme_classic","GGPLOT2","A minimalistic theme with no gridlines",""
"theme","GGPLOT2","Customize ggplot themes",""
"element_text","GGPLOT2","Customise text in GGPLOT2",""
"margin","GGPLOT2","Set margins around plot elements (used inside theme elements)",""
"element_blank","GGPLOT2","This theme element draws nothing, and assigns no space",""
"read.csv","utils","Read a csv file to data frame. Specify stringsAsFactors = FALSE to keep all string columns as characters",""
"replace","base","Replace elements in a vector",""
"factor","base","Create a factor",""
"factor","base","Create factor variables",""
"mutate","dplyr","Create new variables",""
"recode","dplyr","Recode a variable",""
"as.numeric","base","Coerce a vector to numeric",""
"as.character","base","Coerce a vector to character",""
"cor.test","stats","Test for Association/Correlation Between Paired Samples",""
"cut","base","Convert Numeric to Factor",""
"c","base","Combine values/vectors into a vector",""
"ggplot","GGPLOT2","Create a ggplot graph",""
"aes","GGPLOT2","Construct aesthetic mapping of a ggplot graph",""
"geom_point","GGPLOT2","Generates a scatter plot",""
"labs","GGPLOT2","Customise labels in GGPLOT2",""
"sum","base","Get sum of numeric values or a vector",""
"complete.cases","stats","Find Complete Cases",""
"pwr.r.test","pwr","Power analysis for correlation tests",""
"setwd","base","Set Working Directory",""
"read_excel","readxl","Read an Excel file",""
"geom_smooth","GGPLOT2","Generates a smoothed conditional means curve / line",""
